cohort_month,cohort_size,month_index,active_customers,pct_retained,is_observable
2017-01-01,752,0,752,100.00,1
2017-01-01,752,1,3,0.40,1
2017-01-01,752,2,2,0.27,1
2017-01-01,752,3,1,0.13,1
2017-01-01,752,4,3,0.40,1
2017-01-01,752,5,1,0.13,1
2017-01-01,752,6,3,0.40,1
2017-01-01,752,7,1,0.13,1
2017-01-01,752,8,1,0.13,1
2017-01-01,752,10,3,0.40,1
2017-01-01,752,11,1,0.13,1
2017-01-01,752,12,5,0.66,1
2017-02-01,1690,0,1690,100.00,1
2017-02-01,1690,1,4,0.24,1
2017-02-01,1690,2,5,0.30,1
2017-02-01,1690,3,2,0.12,1
2017-02-01,1690,4,7,0.41,1
2017-02-01,1690,5,2,0.12,1
2017-02-01,1690,6,4,0.24,1
2017-02-01,1690,7,3,0.18,1
2017-02-01,1690,8,2,0.12,1
2017-02-01,1690,9,3,0.18,1
2017-02-01,1690,10,2,0.12,1
2017-02-01,1690,11,5,0.30,1
2017-02-01,1690,12,2,0.12,1
2017-03-01,2571,0,2571,100.00,1
2017-03-01,2571,1,13,0.51,1
2017-03-01,2571,2,9,0.35,1
2017-03-01,2571,3,10,0.39,1
2017-03-01,2571,4,9,0.35,1
2017-03-01,2571,5,4,0.16,1
2017-03-01,2571,6,4,0.16,1
2017-03-01,2571,7,8,0.31,1
2017-03-01,2571,8,9,0.35,1
2017-03-01,2571,9,2,0.08,1
2017-03-01,2571,10,10,0.39,1
2017-03-01,2571,11,3,0.12,1
2017-03-01,2571,12,6,0.23,1
2017-04-01,2325,0,2325,100.00,1
2017-04-01,2325,1,14,0.60,1
2017-04-01,2325,2,5,0.22,1
2017-04-01,2325,3,4,0.17,1
2017-04-01,2325,4,7,0.30,1
2017-04-01,2325,5,6,0.26,1
2017-04-01,2325,6,8,0.34,1
2017-04-01,2325,7,7,0.30,1
2017-04-01,2325,8,7,0.30,1
2017-04-01,2325,9,4,0.17,1
2017-04-01,2325,10,6,0.26,1
2017-04-01,2325,11,2,0.09,1
2017-04-01,2325,12,2,0.09,1
2017-05-01,3541,0,3541,100.00,1
2017-05-01,3541,1,17,0.48,1
2017-05-01,3541,2,17,0.48,1
2017-05-01,3541,3,14,0.40,1
2017-05-01,3541,4,11,0.31,1
2017-05-01,3541,5,12,0.34,1
2017-05-01,3541,6,15,0.42,1
2017-05-01,3541,7,5,0.14,1
2017-05-01,3541,8,9,0.25,1
2017-05-01,3541,9,9,0.25,1
2017-05-01,3541,10,9,0.25,1
2017-05-01,3541,11,12,0.34,1
2017-05-01,3541,12,9,0.25,1
2017-06-01,3102,0,3102,100.00,1
2017-06-01,3102,1,14,0.45,1
2017-06-01,3102,2,11,0.35,1
2017-06-01,3102,3,12,0.39,1
2017-06-01,3102,4,8,0.26,1
2017-06-01,3102,5,12,0.39,1
2017-06-01,3102,6,11,0.35,1
2017-06-01,3102,7,7,0.23,1
2017-06-01,3102,8,4,0.13,1
2017-06-01,3102,9,7,0.23,1
2017-06-01,3102,10,10,0.32,1
2017-06-01,3102,11,10,0.32,1
2017-06-01,3102,12,5,0.16,1
2017-07-01,3822,0,3822,100.00,1
2017-07-01,3822,1,20,0.52,1
2017-07-01,3822,2,13,0.34,1
2017-07-01,3822,3,9,0.24,1
2017-07-01,3822,4,11,0.29,1
2017-07-01,3822,5,8,0.21,1
2017-07-01,3822,6,12,0.31,1
2017-07-01,3822,7,4,0.10,1
2017-07-01,3822,8,7,0.18,1
2017-07-01,3822,9,10,0.26,1
2017-07-01,3822,10,8,0.21,1
2017-07-01,3822,11,11,0.29,1
2017-07-01,3822,12,5,0.13,1
2017-08-01,4130,0,4130,100.00,1
